,doc_sentiments,documents,zone_sentiments
1114,-0.2594216417910448,"['Elizabeth Warren Explains Not Endorsing a Candidate During Pandemic', ""Elizabeth Warren explained why she hasn't endorsed a Democratic presidential candidate in light of the coronavirus pandemic when she visited 'Late Night' on ...""]","[0.13432835820895522, -0.39375000000000004]"
1115,0.3822950819672131,"['Elizabeth Warren tells Seth Meyers she had a plan for the COVID-19 pandemic', ""During Elizabeth Warren's now-suspended presidential campaign"", ' she was known for her numerous and detailed policy plans', ' exemplified by her catchphrase', ' ...']","[0.12, 0.26229508196721313, 0.0, 0, 0]"
1116,-0.14111187371310885,"['Warren carves out a big role in a moment of crisis. Will that include a vice presidential nod?', ""Warren's endorsement of Biden this week has fueled speculation that the Massachusetts Democrat is a serious contender for the party's vice presidential ...""]","[0.723404255319149, -0.8645161290322578]"
1117,0.5456260720411663,"['Elizabeth Warren for veep', ' She’s the obvious choice for Joe Biden', 'While former Vice President Joe Biden made surprisingly quick work of Sen. Bernie Sanders in the primaries', "" it's hard for many Democrats to escape the feeling ...""]","[0, 0, 0.25471698113207547, 0.2909090909090909]"
1118,0.10596026490066225,"['‘Yes’', ' Warren says she would accept Biden’s VP nod', ""Massachusetts Sen. Elizabeth Warren said Wednesday she would accept the role of Joe Biden's running mate if the presumptive Democratic presidential ...""]","[0, 0, 0.10596026490066225]"
1119,0.3921568627450981,"['A call to Elizabeth Warren to resume her candidacy for the 2020 election | TheHill', 'The nation needs a woman to lead after this crisis.']","[0, 0.3921568627450981]"
1120,-1.3265790434465132,"['Elizabeth Warren backs Biden', 'WASHINGTON (AP) — Elizabeth Warren endorsed Joe Biden on Wednesday', "" becoming the last of the former vice president's major Democratic presidential ...""]","[0, -1.7121212121212122, 0.3855421686746988]"
1121,0.9416666666666667,"['Elizabeth Warren demands info on children’s privacy policies in letter to Zoom CEO', 'In a letter to Zoom CEO Eric Yuan', "" Sens. Elizabeth Warren and Ed Markey raised new concerns about the videoconferencing *service's* safety and privacy ...""]","[0, 0, 0.9416666666666667]"
1122,1.952112676056338,"['Fact Check', "" Sen. Elizabeth Warren did not 'just vote' to raise her own salary"", 'A Facebook posting by a political activist stated Sen. Elizabeth Warren', ' Democrat of Massachusetts', ' had recently voted in Congress to give herself a pay raise.']","[1.6, 0, 0.352112676056338, 0, 0]"
1123,-1.1849531116794543,"['Elizabeth Warren cites Joe Biden’s post-Boston Marathon bombing speech in endorsement', 'Following a hard-fought primary race', ' Sen. Elizabeth Warren endorsed her former 2020 rival and the presumptive Democratic nominee', ' Joe Biden', ' for president ...']","[-1.811764705882353, 0.6944444444444444, -0.9565217391304347, 0, 0.8888888888888888]"
